Reporting Area,MMWR Year,MMWR Week,"Gonorrhea, Current week","Gonorrhea, Current week, flag","Gonorrhea, Previous 52 weeks Max†","Gonorrhea, Previous 52 weeks Max†, flag","Gonorrhea, Cum 2019†","Gonorrhea, Cum 2019†, flag","Gonorrhea, Cum 2018†","Gonorrhea, Cum 2018†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Current week, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2019†, flag","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†","Haemophilus influenza, invasive disease, (all ages, all serotypes), All ages, all serotypes, Cum 2018†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Current week, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Previous 52 weeks Max†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2019†, flag","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†","Haemophilus influenza, invasive disease (age <5 years), Serotype b, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
DELAWARE,2019,23,,-,79,,759,,533,,1,,3,,10,,8,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192329
DISTRICT OF COLUMBIA,2019,23,,-,109,,,-,1805,,,-,3,,5,,12,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192330
FLORIDA,2019,23,479,,774,,14452,,13531,,8,,14,,173,,181,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20192331
GEORGIA,2019,23,,-,462,,7513,,9553,,1,,11,,91,,120,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20192332
MARYLAND,2019,23,9,,249,,3104,,4477,,,-,8,,63,,67,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20192333
NORTH CAROLINA,2019,23,25,,550,,9045,,9951,,,-,11,,106,,98,,,-,0,,,-,1,,"NORTH CAROLINA
(35.52603, -79.130883)",,20192334
SOUTH CAROLINA,2019,23,,-,582,,5214,,5521,,,-,8,,70,,72,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192335
VIRGINIA,2019,23,275,,356,,5796,,5182,,1,,13,,68,,66,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20192336
WEST VIRGINIA,2019,23,,-,83,,409,,452,,,-,4,,18,,26,,,-,0,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",,20192337
EAST SOUTH CENTRAL,2019,23,149,,2266,,16112,,17213,,1,,18,,215,,219,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20192338
ALABAMA,2019,23,,-,432,,5588,,5219,,,-,7,,49,,49,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192339
KENTUCKY,2019,23,,-,1730,,1029,,1687,,,-,8,,35,,53,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20192340
MISSISSIPPI,2019,23,58,,277,,3284,,4184,,,-,4,,34,,37,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192341
TENNESSEE,2019,23,91,,392,,6211,,6123,,1,,9,,97,,80,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20192342
WEST SOUTH CENTRAL,2019,23,171,,1638,,11791,,32452,,7,,72,,349,,357,,,-,1,,1,,,-,,WEST SOUTH CENTRAL,20192343
ARKANSAS,2019,23,,-,183,,1235,,3125,,1,,8,,59,,33,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20192344
LOUISIANA,2019,23,137,,294,,4907,,4971,,,-,8,,41,,44,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20192345
OKLAHOMA,2019,23,34,,207,,2777,,3765,,3,,15,,47,,46,,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20192346
TEXAS,2019,23,,-,1035,,2872,,20591,,3,,46,,202,,234,,,-,1,,1,,,-,"TEXAS
(31.447238, -99.317341)",,20192347
MOUNTAIN,2019,23,248,,888,,16098,,16197,,7,,20,,280,,225,,,-,1,,1,,4,,,MOUNTAIN,20192348
ARIZONA,2019,23,79,,305,,5629,,5461,,1,,8,,105,,76,,,-,1,,1,,1,,"ARIZONA
(34.293239, -111.664616)",,20192349
COLORADO,2019,23,,-,269,,3768,,3735,,3,,8,,66,,54,,,-,0,,,-,1,,"COLORADO
(38.998552, -105.547832)",,20192350
IDAHO,2019,23,20,,52,,608,,373,,1,,3,,19,,10,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20192351
MONTANA,2019,23,9,,35,,556,,467,,,-,2,,13,,12,,,-,0,,,-,1,,"MONTANA
(47.033521, -109.645127)",,20192352
NEVADA,2019,23,86,,157,,2419,,2650,,,-,5,,22,,15,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20192353
NEW MEXICO,2019,23,15,,135,,1906,,2176,,2,,3,,30,,29,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20192354
UTAH,2019,23,38,,81,,1087,,1217,,,-,5,,25,,27,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192355
WYOMING,2019,23,1,,16,,125,,118,,,-,1,,,-,2,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192356
PACIFIC,2019,23,401,,2214,,39211,,43211,,1,,16,,108,,108,,,-,0,,,-,,-,,PACIFIC,20192357
ALASKA,2019,23,7,,60,,765,,1007,,,-,3,,15,,18,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192358
CALIFORNIA,2019,23,166,,1774,,32499,,33875,,,-,5,,27,,23,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20192359
HAWAII,2019,23,,-,45,,,-,612,,,-,3,,18,,21,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192360
OREGON,2019,23,94,,158,,2481,,2541,,1,,7,,42,,46,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20192361
WASHINGTON,2019,23,134,,244,,3466,,5176,,,-,13,,6,,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192362
US TERRITORIES,2019,23,,-,19,,160,,241,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192363
AMERICAN SAMOA,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20192364
NORTHERN MARIANA ISLANDS,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192365
GUAM,2019,23,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192366
PUERTO RICO,2019,23,,-,19,,160,,230,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192367
U.S. VIRGIN ISLANDS,2019,23,,-,4,,,-,11,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192368
NON-US RESIDENTS,2019,23,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192369
TOTAL,2019,23,3422,,12557,,205773,,241296,,46,,231,,2569,,2715,,,-,3,,4,,22,,,TOTAL,20192370
US RESIDENTS,2019,24,3441,,12632,,215491,,253463,,73,,234,,2710,,2829,,,-,2,,4,,24,,,US RESIDENTS,20192401
NEW ENGLAND,2019,24,22,,365,,3836,,6058,,,-,12,,119,,138,,,-,1,,,-,2,,,NEW ENGLAND,20192402
CONNECTICUT,2019,24,,-,124,,,U,1287,,,-,5,,18,,29,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20192403
MAINE,2019,24,,-,25,,214,,303,,,-,4,,16,,13,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20192404
MASSACHUSETTS,2019,24,,-,191,,2922,,3595,,,-,7,,51,,60,,,-,0,,,-,1,,"MASSACHUSETTS
(42.151077, -71.481104)",,20192405
NEW HAMPSHIRE,2019,24,4,,23,,204,,304,,,-,3,,16,,14,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192406
RHODE ISLAND,2019,24,18,,139,,474,,447,,,-,4,,11,,12,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192407
VERMONT,2019,24,,-,14,,22,,122,,,-,3,,7,,10,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192408
MIDDLE ATLANTIC,2019,24,790,,1506,,27762,,26436,,11,,31,,356,,405,,,-,1,,,-,7,,,MIDDLE ATLANTIC,20192409
NEW JERSEY,2019,24,114,,239,,4329,,3719,,,-,10,,53,,93,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20192410
NEW YORK,2019,24,244,,304,,4767,,4822,,5,,18,,109,,106,,,-,1,,,-,2,,"NEW YORK
(42.921241, -75.59655)",,20192411
NEW YORK CITY,2019,24,259,,687,,12079,,10844,,5,,7,,68,,79,,,-,1,,,-,2,,,NEW YORK CITY,20192412
PENNSYLVANIA,2019,24,173,,377,,6587,,7051,,1,,12,,126,,127,,,-,1,,,-,3,,"PENNSYLVANIA
(40.896694, -77.838886)",,20192413
EAST NORTH CENTRAL,2019,24,518,,1995,,32850,,37091,,16,,35,,458,,482,,,-,2,,1,,7,,,EAST NORTH CENTRAL,20192414
ILLINOIS,2019,24,28,,599,,6956,,10799,,,-,10,,103,,123,,,-,0,,,-,2,,"ILLINOIS
(40.124144, -89.148632)",,20192415
INDIANA,2019,24,,-,326,,4391,,5385,,,-,8,,77,,89,,,-,1,,,-,2,,"INDIANA
(39.919991, -86.2818)",,20192416
MICHIGAN,2019,24,141,,443,,7185,,6844,,,-,8,,81,,95,,,-,1,,,-,1,,"MICHIGAN
(44.874798, -85.730977)",,20192417
OHIO,2019,24,234,,593,,10795,,10730,,16,,14,,188,,125,,,-,2,,,-,1,,"OHIO
(40.415534, -82.70936)",,20192418
WISCONSIN,2019,24,115,,199,,3523,,3333,,,-,6,,9,,50,,,-,1,,1,,1,,"WISCONSIN
(44.639954, -89.732969)",,20192419
WEST NORTH CENTRAL,2019,24,356,,912,,15154,,16453,,5,,14,,135,,188,,,-,1,,,-,1,,,WEST NORTH CENTRAL,20192420
IOWA,2019,24,27,,120,,2060,,2043,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192421
KANSAS,2019,24,47,,131,,2152,,2199,,,-,4,,1,,19,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20192422
MINNESOTA,2019,24,20,,189,,2695,,3275,,,-,6,,14,,47,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192423
MISSOURI,2019,24,261,,389,,6762,,6457,,4,,7,,83,,93,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20192424
NEBRASKA,2019,24,,-,106,,567,,1249,,1,,3,,17,,12,,,-,1,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20192425
NORTH DAKOTA,2019,24,1,,43,,546,,510,,,-,2,,9,,8,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20192426
SOUTH DAKOTA,2019,24,,-,58,,372,,720,,,-,2,,11,,9,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192427
SOUTH ATLANTIC,2019,24,772,,2718,,49499,,53435,,33,,43,,645,,676,,,-,1,,1,,3,,,SOUTH ATLANTIC,20192428
DELAWARE,2019,24,,-,79,,770,,554,,,-,3,,11,,8,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192429
DISTRICT OF COLUMBIA,2019,24,27,,125,,1812,,1879,,,-,3,,5,,13,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192430
FLORIDA,2019,24,430,,774,,15112,,14283,,26,,14,,199,,183,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20192431
GEORGIA,2019,24,,-,462,,7513,,9900,,,-,11,,91,,127,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20192432
MARYLAND,2019,24,,-,249,,3104,,4661,,5,,8,,68,,75,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20192433
NORTH CAROLINA,2019,24,5,,550,,9431,,10421,,,-,11,,109,,101,,,-,0,,,-,1,,"NORTH CAROLINA
(35.52603, -79.130883)",,20192434
SOUTH CAROLINA,2019,24,,-,582,,5214,,5836,,,-,8,,70,,74,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192435
VIRGINIA,2019,24,265,,356,,6061,,5428,,2,,13,,72,,68,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20192436
WEST VIRGINIA,2019,24,45,,83,,482,,473,,,-,4,,20,,27,,,-,0,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",,20192437
EAST SOUTH CENTRAL,2019,24,212,,2266,,16480,,18050,,2,,18,,239,,228,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20192438
ALABAMA,2019,24,,-,432,,5588,,5458,,,-,7,,51,,50,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192439
KENTUCKY,2019,24,,-,1730,,1029,,1827,,1,,8,,56,,55,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20192440
MISSISSIPPI,2019,24,113,,277,,3553,,4407,,1,,4,,35,,38,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192441
TENNESSEE,2019,24,99,,392,,6310,,6358,,,-,9,,97,,85,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20192442
WEST SOUTH CENTRAL,2019,24,179,,1638,,12262,,33959,,6,,72,,357,,367,,,-,1,,1,,,-,,WEST SOUTH CENTRAL,20192443
ARKANSAS,2019,24,,-,183,,1300,,3283,,2,,8,,61,,33,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20192444
LOUISIANA,2019,24,146,,294,,5127,,5215,,,-,8,,41,,45,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20192445
OKLAHOMA,2019,24,33,,207,,2963,,3915,,,-,15,,47,,49,,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20192446
TEXAS,2019,24,,-,1035,,2872,,21546,,4,,46,,208,,240,,,-,1,,1,,,-,"TEXAS
(31.447238, -99.317341)",,20192447
MOUNTAIN,2019,24,182,,888,,16727,,16878,,,-,20,,289,,230,,,-,1,,1,,4,,,MOUNTAIN,20192448
ARIZONA,2019,24,56,,305,,5875,,5675,,,-,8,,106,,77,,,-,1,,1,,1,,"ARIZONA
(34.293239, -111.664616)",,20192449
COLORADO,2019,24,,-,269,,3880,,3840,,,-,8,,70,,56,,,-,0,,,-,1,,"COLORADO
(38.998552, -105.547832)",,20192450
IDAHO,2019,24,21,,52,,634,,403,,,-,3,,19,,11,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20192451
MONTANA,2019,24,22,,35,,589,,494,,,-,2,,15,,12,,,-,0,,,-,1,,"MONTANA
(47.033521, -109.645127)",,20192452
NEVADA,2019,24,72,,157,,2533,,2777,,,-,5,,24,,15,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20192453
NEW MEXICO,2019,24,11,,135,,2000,,2277,,,-,3,,30,,29,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20192454
UTAH,2019,24,,-,81,,1087,,1290,,,-,5,,25,,28,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192455
WYOMING,2019,24,,-,16,,129,,122,,,-,1,,,-,2,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192456
PACIFIC,2019,24,410,,2214,,40921,,45103,,,-,16,,112,,115,,,-,0,,,-,,-,,PACIFIC,20192457
ALASKA,2019,24,,-,60,,765,,1044,,,-,3,,17,,18,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192458
CALIFORNIA,2019,24,151,,1774,,33949,,35401,,,-,5,,28,,23,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20192459
HAWAII,2019,24,,-,45,,,-,632,,,-,3,,19,,21,,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20192460
OREGON,2019,24,132,,158,,2614,,2641,,,-,7,,42,,53,,,-,0,,,-,,-,"OREGON
(43.940449, -120.605279)",,20192461
WASHINGTON,2019,24,127,,244,,3593,,5385,,,-,13,,6,,,-,,-,0,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20192462
US TERRITORIES,2019,24,,-,19,,166,,256,,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20192463
AMERICAN SAMOA,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20192464
NORTHERN MARIANA ISLANDS,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20192465
GUAM,2019,24,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20192466
PUERTO RICO,2019,24,,-,19,,166,,245,,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20192467
U.S. VIRGIN ISLANDS,2019,24,,-,4,,,-,11,,,N,,NC,,N,,N,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20192468
NON-US RESIDENTS,2019,24,,-,,NC,2,,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20192469
TOTAL,2019,24,3441,,12646,,215659,,253719,,73,,234,,2710,,2829,,,-,2,,4,,24,,,TOTAL,20192470
US RESIDENTS,2019,25,3740,,12632,,225359,,265053,,62,,234,,2856,,2927,,,-,3,,8,,24,,,US RESIDENTS,20192501
NEW ENGLAND,2019,25,120,,365,,4314,,6358,,,-,11,,119,,149,,,-,1,,,-,2,,,NEW ENGLAND,20192502
CONNECTICUT,2019,25,,-,124,,,-,1360,,,-,5,,18,,31,,,-,0,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20192503
MAINE,2019,25,1,,25,,236,,313,,,-,4,,16,,13,,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20192504
MASSACHUSETTS,2019,25,92,,191,,3341,,3769,,,-,7,,51,,67,,,-,0,,,-,1,,"MASSACHUSETTS
(42.151077, -71.481104)",,20192505
NEW HAMPSHIRE,2019,25,5,,23,,210,,318,,,-,3,,16,,14,,,-,0,,,-,1,,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20192506
RHODE ISLAND,2019,25,22,,139,,505,,473,,,-,3,,11,,13,,,-,1,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20192507
VERMONT,2019,25,,-,14,,22,,125,,,-,2,,7,,11,,,-,0,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20192508
MIDDLE ATLANTIC,2019,25,816,,1506,,28976,,27625,,12,,31,,370,,420,,,-,1,,,-,7,,,MIDDLE ATLANTIC,20192509
NEW JERSEY,2019,25,91,,239,,4483,,3867,,,-,10,,53,,98,,,-,0,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20192510
NEW YORK,2019,25,234,,304,,4998,,5033,,4,,18,,112,,109,,,-,1,,,-,2,,"NEW YORK
(42.921241, -75.59655)",,20192511
NEW YORK CITY,2019,25,300,,687,,12659,,11348,,7,,7,,75,,80,,,-,0,,,-,2,,,NEW YORK CITY,20192512
PENNSYLVANIA,2019,25,191,,377,,6836,,7377,,1,,12,,130,,133,,,-,1,,,-,3,,"PENNSYLVANIA
(40.896694, -77.838886)",,20192513
EAST NORTH CENTRAL,2019,25,523,,1995,,34225,,38757,,10,,35,,479,,497,,,-,2,,4,,7,,,EAST NORTH CENTRAL,20192514
ILLINOIS,2019,25,32,,599,,7369,,11285,,,-,10,,110,,126,,,-,0,,,-,2,,"ILLINOIS
(40.124144, -89.148632)",,20192515
INDIANA,2019,25,,-,326,,4391,,5620,,,-,8,,81,,93,,,-,1,,,-,2,,"INDIANA
(39.919991, -86.2818)",,20192516
MICHIGAN,2019,25,146,,443,,7555,,7198,,,-,8,,81,,99,,,-,1,,,-,1,,"MICHIGAN
(44.874798, -85.730977)",,20192517
OHIO,2019,25,236,,593,,11248,,11178,,10,,16,,198,,129,,,-,2,,3,,1,,"OHIO
(40.415534, -82.70936)",,20192518
WISCONSIN,2019,25,109,,199,,3662,,3476,,,-,6,,9,,50,,,-,1,,1,,1,,"WISCONSIN
(44.639954, -89.732969)",,20192519
WEST NORTH CENTRAL,2019,25,337,,912,,16147,,17227,,8,,14,,147,,194,,,-,0,,,-,1,,,WEST NORTH CENTRAL,20192520
IOWA,2019,25,21,,120,,2218,,2134,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20192521
KANSAS,2019,25,44,,131,,2244,,2328,,,-,4,,3,,19,,,-,0,,,-,,-,"KANSAS
(38.484729, -98.38018)",,20192522
MINNESOTA,2019,25,8,,189,,2851,,3422,,,-,6,,14,,50,,,-,0,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20192523
MISSOURI,2019,25,261,,389,,7126,,6739,,7,,7,,92,,95,,,-,0,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20192524
NEBRASKA,2019,25,,-,106,,567,,1315,,1,,3,,18,,12,,,-,0,,,-,1,,"NEBRASKA
(41.527099, -99.810595)",,20192525
NORTH DAKOTA,2019,25,2,,43,,572,,535,,,-,2,,9,,9,,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20192526
SOUTH DAKOTA,2019,25,1,,58,,569,,754,,,-,2,,11,,9,,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20192527
SOUTH ATLANTIC,2019,25,838,,2718,,51461,,55961,,15,,43,,685,,699,,,-,1,,1,,3,,,SOUTH ATLANTIC,20192528
DELAWARE,2019,25,,-,79,,818,,624,,1,,3,,12,,8,,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20192529
DISTRICT OF COLUMBIA,2019,25,10,,125,,1822,,1960,,,-,3,,5,,13,,,-,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20192530
FLORIDA,2019,25,408,,774,,15751,,14876,,7,,26,,206,,191,,,-,0,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20192531
GEORGIA,2019,25,143,,462,,7860,,10297,,2,,11,,99,,132,,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20192532
MARYLAND,2019,25,,-,249,,3104,,4852,,4,,8,,73,,75,,,-,1,,1,,,-,"MARYLAND
(38.946466, -76.687282)",,20192533
NORTH CAROLINA,2019,25,22,,550,,10095,,10885,,,-,11,,123,,107,,,-,0,,,-,1,,"NORTH CAROLINA
(35.52603, -79.130883)",,20192534
SOUTH CAROLINA,2019,25,,-,582,,5214,,6292,,,-,8,,70,,76,,,-,0,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20192535
VIRGINIA,2019,25,255,,356,,6315,,5681,,1,,13,,76,,68,,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20192536
WEST VIRGINIA,2019,25,,-,83,,482,,494,,,-,4,,21,,29,,,-,0,,,-,2,,"WEST VIRGINIA
(38.642579, -80.613729)",,20192537
EAST SOUTH CENTRAL,2019,25,206,,2266,,16992,,18918,,,-,18,,250,,238,,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20192538
ALABAMA,2019,25,,-,432,,5588,,5667,,,-,7,,55,,52,,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20192539
KENTUCKY,2019,25,,-,1730,,1029,,2024,,,-,8,,56,,57,,,-,1,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20192540
MISSISSIPPI,2019,25,122,,277,,3981,,4632,,,-,4,,35,,41,,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20192541
TENNESSEE,2019,25,84,,392,,6394,,6595,,,-,9,,104,,88,,,-,0,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20192542
WEST SOUTH CENTRAL,2019,25,36,,1638,,12600,,35511,,11,,72,,384,,376,,,-,1,,2,,,-,,WEST SOUTH CENTRAL,20192543
ARKANSAS,2019,25,,-,183,,1453,,3446,,1,,8,,62,,33,,,-,0,,,-,,-,"ARKANSAS
(34.899825, -92.439162)",,20192544
LOUISIANA,2019,25,,-,294,,5127,,5471,,1,,8,,50,,45,,,-,0,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20192545
OKLAHOMA,2019,25,36,,207,,3148,,4098,,5,,15,,52,,50,,,-,1,,,-,,-,"OKLAHOMA
(35.583449, -97.508297)",,20192546
TEXAS,2019,25,,-,1035,,2872,,22496,,4,,46,,220,,248,,,-,1,,2,,,-,"TEXAS
(31.447238, -99.317341)",,20192547
MOUNTAIN,2019,25,398,,888,,17812,,17646,,5,,20,,306,,235,,,-,1,,1,,4,,,MOUNTAIN,20192548
ARIZONA,2019,25,68,,305,,6178,,5950,,3,,9,,115,,80,,,-,1,,1,,1,,"ARIZONA
(34.293239, -111.664616)",,20192549
COLORADO,2019,25,175,,269,,4319,,4029,,2,,8,,72,,57,,,-,0,,,-,1,,"COLORADO
(38.998552, -105.547832)",,20192550
IDAHO,2019,25,24,,52,,662,,437,,,-,3,,19,,11,,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20192551
MONTANA,2019,25,15,,35,,615,,519,,,-,3,,16,,12,,,-,0,,,-,1,,"MONTANA
(47.033521, -109.645127)",,20192552
NEVADA,2019,25,64,,157,,2626,,2882,,,-,5,,24,,15,,,-,0,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20192553
NEW MEXICO,2019,25,15,,135,,2103,,2366,,,-,3,,30,,30,,,-,0,,,-,1,,"NEW MEXICO
(34.421369, -106.108388)",,20192554
UTAH,2019,25,36,,81,,1177,,1336,,,-,5,,30,,28,,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20192555
WYOMING,2019,25,1,,16,,132,,127,,,-,1,,,-,2,,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20192556
PACIFIC,2019,25,466,,2214,,42832,,47050,,1,,16,,116,,119,,,-,0,,,-,,-,,PACIFIC,20192557
ALASKA,2019,25,,-,60,,765,,1086,,,-,3,,17,,20,,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20192558
CALIFORNIA,2019,25,193,,1774,,35587,,37013,,,-,5,,29,,23,,,-,0,,,-,,-,"CALIFORNIA
(37.211164, -119.662127)",,20192559
